web_scraper_order,web_scraper_start_url,brand,name,price,url,image
"1784124965-877","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Low pH Good Night Soft Peeling Gel 120ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-low-ph-peeling-gel-low-ph-good-night-soft-peeling-gel-120ml-4531","https://koreanbeautypoint.com/web/image/product.product/8160/image_1024/%5Bcosrx%20low%20ph%20peeling%20gel%5D%20Low%20pH%20Good%20Night%20Soft%20Peeling%20Gel%20120ml?unique=affe57f"
"1784124965-878","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Full Fit Propolis Honey Overnight Mask 60ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-honey-overnight-mask-full-fit-propolis-honey-overnight-mask-60ml-4529","https://koreanbeautypoint.com/web/image/product.product/8158/image_1024/%5Bcosrx%20honey%20overnight%20mask%5D%20Full%20Fit%20Propolis%20Honey%20Overnight%20Mask%2060ml?unique=affe57f"
"1784124965-879","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Hyaluronic Acid Hydra Power Essence 100ml","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-ha-power-essence-hyaluronic-acid-hydra-power-essence-100ml-4528","https://koreanbeautypoint.com/web/image/product.product/8157/image_1024/%5Bcosrx%20ha%20power%20essence%5D%20Hyaluronic%20Acid%20Hydra%20Power%20Essence%20100ml?unique=affe57f"
"1784124965-880","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Cica Cleanser 150ml","Rs 2,000","https://koreanbeautypoint.com/shop/cosrx-cica-cleanser-cica-cleanser-150ml-4526","https://koreanbeautypoint.com/web/image/product.product/8155/image_1024/%5Bcosrx%20cica%20cleanser%5D%20Cica%20Cleanser%20150ml?unique=affe57f"
"1784124965-881","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Centella Water Alcohol Free Toner 150ml","Rs 2,300","https://koreanbeautypoint.com/shop/cosrx-centella-toner-centella-water-alcohol-free-toner-150ml-4524","https://koreanbeautypoint.com/web/image/product.product/8153/image_1024/%5Bcosrx%20centella%20toner%5D%20Centella%20Water%20Alcohol%20Free%20Toner%20150ml?unique=affe57f"
"1784124965-882","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Centella Blemish Cream 30g","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-centella-blemish-cream-centella-blemish-cream-30g-4523","https://koreanbeautypoint.com/web/image/product.product/8152/image_1024/%5Bcosrx%20centella%20blemish%20cream%5D%20Centella%20Blemish%20Cream%2030g?unique=affe57f"
"1784124965-883","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","BHA Blackhead Power Liquid 100ml","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-bha-liquid-bha-blackhead-power-liquid-100ml-4521","https://koreanbeautypoint.com/web/image/product.product/8150/image_1024/%5Bcosrx%20BHA%20liquid%5D%20BHA%20Blackhead%20Power%20Liquid%20100ml?unique=d06996b"
"1784124965-884","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","Balancium Comfort Ceramide Cream 80g","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-balancium-ceramide-cream-balancium-comfort-ceramide-cream-80g-4520","https://koreanbeautypoint.com/web/image/product.product/8149/image_1024/%5Bcosrx%20balancium%20ceramide%20cream%5D%20Balancium%20Comfort%20Ceramide%20Cream%2080g?unique=affe57f"
"1784124965-885","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","AC Collection Lightweight Soothing Moisturizer 80ml","Rs 2,800","https://koreanbeautypoint.com/shop/cosrx-ac-soothing-cream-ac-collection-lightweight-soothing-moisturizer-80ml-4515","https://koreanbeautypoint.com/web/image/product.product/8144/image_1024/%5Bcosrx%20AC%20soothing%20cream%5D%20AC%20Collection%20Lightweight%20Soothing%20Moisturizer%2080ml?unique=cb36fc5"
"1784124965-886","https://koreanbeautypoint.com/page/product_brands","https://koreanbeautypoint.com/shop/brands?brand=5","The AHA BHA PHA LHA 35 Peel 30ml","Rs 2,600","https://koreanbeautypoint.com/shop/cosrx-35-peel-the-aha-bha-pha-lha-35-peel-30ml-4514","https://koreanbeautypoint.com/web/image/product.product/8143/image_1024/%5Bcosrx%2035%20peel%5D%20The%20AHA%20BHA%20PHA%20LHA%2035%20Peel%2030ml?unique=affe57f"
