web_scraper_order,web_scraper_start_url,category,name,price,image,url
"1784116343-10258","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 12GB RAM & 256GB Storage | Pink Color
A069 NOTHING PHONE (4A) 12+256 PINK","NPR78,999","","https://cgdigital.com.np/product-phone-4a---12gb-ram-&-256gb-storage-%7C-pink-color-4578"
"1784116343-10259","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | White Color
A069 NOTHING PHONE (4A) 8+256 WHITE","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-white-color-4577"
"1784116343-10260","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 256GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+256 BLACK","NPR71,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-256gb-storage-%7C-black-color-4576"
"1784116343-10261","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Phone 4a - 8GB RAM & 128GB Storage | Black Color
A069 NOTHING PHONE (4A) 8+128 BLACK","NPR64,999","","https://cgdigital.com.np/product-phone-4a---8gb-ram-&-128gb-storage-%7C-black-color-4574"
"1784116343-10262","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Orange
D399 CMF WATCH 3 PRO ORANGE","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---orange-4541"
"1784116343-10263","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Grey
D399 CMF WATCH 3 PRO LIGHT GREY","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-grey-4540"
"1784116343-10264","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","CMF Watch Pro 3 Pro - Light Green
D399 CMF WATCH 3 PRO LIGHT GREEN","NPR14,999","","https://cgdigital.com.np/product-watch-pro-3-pro---light-green-4539"
"1784116343-10265","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Nothing Ear - Black
B171 NOTHING EAR BLACK","NPR22,999","","https://cgdigital.com.np/product-ear---black-4538"
"1784116343-10266","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Greener Pastures Color
G96 MOTO XT2531-2 (8+256) GP GREENER PASTURES","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-greener-pastures-color-4532"
"1784116343-10267","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","Motorola Mobility Moto G96 - 8GB RAM & 256GB Storage | Ashleigh Blue Color
G96 MOTO XT2531-2 (8+256) AB ASHLEIGH BLUE","NPR44,999","","https://cgdigital.com.np/product-moto-g96---8gb-ram-&-256gb-storage-%7C-ashleigh-blue-color-4531"
"1784116343-10268","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Purple) 6/128 GB
AI PULSE-0C","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(purple)-6-128-gb-4302"
"1784116343-10269","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Black) 6/128 GB
AI PULSE-0B","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(black)-6-128-gb-4301"
"1784116343-10270","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Pulse (Blue) 6/128 GB
AI PULSE-0A","NPR16,499","","https://cgdigital.com.np/product-ai--pulse-(blue)-6-128-gb-4300"
"1784116343-10271","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Green) 6/128 GB
AI NOVA-0J","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(green)-6-128-gb-4299"
"1784116343-10272","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Purple) 6/128 GB
AI NOVA-0I","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(purple)-6-128-gb-4298"
"1784116343-10273","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Blue) 6/128 GB
AI NOVA-0H","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(blue)-6-128-gb-4297"
"1784116343-10274","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Pink) 6/128 GB
AI NOVA-0G","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(pink)-6-128-gb-4296"
"1784116343-10275","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Black) 6/128 GB
AI NOVA-0F","NPR18,499","","https://cgdigital.com.np/product-ai--nova-5g-(black)-6-128-gb-4295"
"1784116343-10276","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Green) 8/128 GB
AI NOVA-0E","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(green)-8-128-gb-4294"
"1784116343-10277","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Purple) 8/128 GB
AI NOVA-0D","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(purple)-8-128-gb-4293"
"1784116343-10278","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Blue) 8/128 GB
AI NOVA-0C","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(blue)-8-128-gb-4292"
"1784116343-10279","https://cgdigital.com.np/","https://cgdigital.com.np/cat-mobile---accessories-7","AI+ AI+ Nova 5G (Pink) 8/128 GB
AI NOVA-0B","NPR21,999","","https://cgdigital.com.np/product-ai--nova-5g-(pink)-8-128-gb-4291"
